"Normal10(mu=0,sigma=1)","Normal100(mu=0,sigma=1)","Normal1000(mu=0,sigma=1)","t10(df=1,ncp=0)","t100(df=1,ncp=0)","t1000(df=1,ncp=0)","F10(df1=5,df2=5,ncp=0)","F100(df1=5,df2=5,ncp=0)","F1000(df1=5,df2=5,ncp=0)","Chisq10(df=5,ncp=0)","Chisq100(df=5,ncp=0)","Chisq1000(df=5,ncp=0)","Beta10(alpha=1,beta=1)","Beta100(alpha=1,beta=1)","Beta1000(alpha=1,beta=1)","Gamma10(shape=1,scale=1)","Gamma100(shape=1,scale=1)","Gamma1000(shape=1,scale=1)","InvGamma10(shape=1,scale=1)","InvGamma100(shape=1,scale=1)","InvGamma1000(shape=1,scale=1)",Exp10(rate=1),Exp100(rate=1),Exp1000(rate=1),Bern10(p=0.5),Bern100(p=0.5),Bern1000(p=0.5),"Binom10(p=0.5,n=10)","Binom100(p=0.5,n=10)","Binom1000(p=0.5,n=10)","NBinom10(nsuccess=1,p=0.5)","NBinom100(nsuccess=1,p=0.5)","NBinom1000(nsuccess=1,p=0.5)",Pois10(lambda=1),Pois100(lambda=1),Pois1000(lambda=1),bla
"","",0.420695,"","",-2.1107,"","",0.939101,"","",6.62102,"","",0.873279,"","",0.133958,"","",0.927728,"","",0.89331,"","",1,"","",5,"","",0,"","",1,""
"","",-0.400247,"","",0.126693,"","",3.87575,"","",3.98283,"","",0.259239,"","",1.17079,"","",0.870784,"","",0.204357,"","",0,"","",5,"","",0,"","",1,""
"","",-1.37021,"","",-13.8589,"","",1.00627,"","",8.06121,"","",0.321488,"","",0.360072,"","",1.27425,"","",0.519544,"","",1,"","",3,"","",1,"","",0,""
"","",0.987838,"","",3.48257,"","",3.47466,"","",2.26268,"","",0.0483288,"","",3.68526,"","",1.87604,"","",0.125259,"","",0,"","",5,"","",4,"","",0,""
"","",1.51975,"","",0.357082,"","",0.161165,"","",6.83446,"","",0.739633,"","",3.97425,"","",4.19912,"","",3.31462,"","",0,"","",3,"","",1,"","",1,""
"","",-0.308741,"","",-2.61596,"","",0.273975,"","",4.34583,"","",0.410745,"","",3.14833,"","",0.872671,"","",0.240366,"","",0,"","",5,"","",0,"","",1,""
"","",-1.25329,"","",-0.0270859,"","",0.624191,"","",15.073,"","",0.227915,"","",0.583091,"","",55.1522,"","",0.466303,"","",1,"","",5,"","",1,"","",0,""
"","",0.642241,"","",0.262366,"","",0.30696,"","",5.05675,"","",0.363081,"","",2.77338,"","",0.531028,"","",0.134382,"","",0,"","",5,"","",1,"","",1,""
"","",-0.0447091,"","",20.0506,"","",1.00637,"","",1.01957,"","",0.917882,"","",0.237631,"","",0.731841,"","",0.021455,"","",0,"","",7,"","",2,"","",1,""
"","",-1.73322,"","",-1.32073,"","",2.7868,"","",3.8825,"","",0.469025,"","",2.10095,"","",0.701131,"","",0.0465181,"","",1,"","",7,"","",3,"","",0,""
"","",0.00213186,"","",-0.0804984,"","",1.24254,"","",3.10578,"","",0.514763,"","",0.554955,"","",0.708631,"","",0.0208195,"","",1,"","",8,"","",2,"","",0,""
"","",-0.6303,"","",0.422601,"","",0.860864,"","",1.85568,"","",0.876114,"","",1.32612,"","",2.05405,"","",2.675,"","",0,"","",7,"","",1,"","",0,""
"","",-0.340969,"","",-10.7904,"","",4.318,"","",0.175665,"","",0.4666,"","",0.206464,"","",2.25353,"","",2.69217,"","",0,"","",5,"","",0,"","",0,""
"","",-1.15657,"","",-1.05467,"","",1.80312,"","",2.81597,"","",0.765921,"","",2.38659,"","",3.44877,"","",0.30319,"","",1,"","",6,"","",0,"","",4,""
"","",1.80314,"","",1.35646,"","",1.7742,"","",1.30454,"","",0.817789,"","",0.619923,"","",0.765304,"","",2.8756,"","",0,"","",3,"","",2,"","",2,""
"","",-0.331132,"","",2.00275,"","",3.30089,"","",3.90227,"","",0.670804,"","",2.99328,"","",0.531657,"","",1.00853,"","",1,"","",4,"","",1,"","",0,""
"","",-1.60551,"","",6.27599,"","",1.86099,"","",1.37165,"","",0.0218353,"","",3.73257,"","",0.85761,"","",2.54503,"","",1,"","",4,"","",0,"","",2,""
"","",0.197193,"","",-0.259203,"","",2.18403,"","",14.0554,"","",0.430716,"","",2.1967,"","",3.12243,"","",1.25767,"","",1,"","",6,"","",3,"","",1,""
"","",0.263176,"","",-2.94562,"","",0.934183,"","",3.93362,"","",0.351593,"","",0.279474,"","",0.50341,"","",0.8344,"","",1,"","",5,"","",0,"","",1,""
"","",-0.985827,"","",-1.73607,"","",0.851522,"","",8.25127,"","",0.698377,"","",0.491235,"","",84.1063,"","",1.65985,"","",1,"","",7,"","",1,"","",1,""
"","",-2.88892,"","",0.0106542,"","",3.53959,"","",4.09045,"","",0.884531,"","",1.69797,"","",1.80068,"","",0.819699,"","",1,"","",5,"","",1,"","",1,""
"","",-0.640482,"","",0.313446,"","",0.57168,"","",1.04078,"","",0.609187,"","",0.341472,"","",5.52417,"","",0.186947,"","",0,"","",6,"","",0,"","",2,""
"","",0.570508,"","",6.99304,"","",3.37809,"","",6.51306,"","",0.820172,"","",2.74709,"","",0.795594,"","",1.31646,"","",1,"","",2,"","",1,"","",0,""
"","",-0.0597233,"","",-3.80376,"","",6.49688,"","",5.70043,"","",0.242218,"","",1.07787,"","",0.455663,"","",2.31876,"","",1,"","",5,"","",3,"","",2,""
"","",-0.0981787,"","",-0.407587,"","",1.15943,"","",4.6659,"","",0.518831,"","",0.734685,"","",105.044,"","",0.893176,"","",0,"","",3,"","",0,"","",1,""
"","",0.560821,"","",0.636976,"","",0.449083,"","",2.92874,"","",0.399586,"","",0.53356,"","",2.14149,"","",1.25459,"","",0,"","",4,"","",3,"","",0,""
"","",-1.18646,"","",-0.163838,"","",1.69812,"","",5.08653,"","",0.0403738,"","",1.47766,"","",1.60231,"","",0.797146,"","",1,"","",3,"","",2,"","",0,""
"","",1.09678,"","",-2.43668,"","",0.684016,"","",1.13161,"","",0.224968,"","",0.999979,"","",0.281815,"","",0.874178,"","",1,"","",5,"","",0,"","",0,""
"","",-0.00534403,"","",-11.8962,"","",2.00998,"","",6.91859,"","",0.53981,"","",1.53416,"","",5.00236,"","",1.3975,"","",1,"","",6,"","",2,"","",0,""
"","",0.707311,"","",-5.36225,"","",2.35718,"","",3.44845,"","",0.964072,"","",0.0674006,"","",3.7395,"","",1.00598,"","",0,"","",3,"","",1,"","",2,""
"","",1.03411,"","",1.10829,"","",1.04562,"","",2.652,"","",0.660677,"","",0.579672,"","",0.287127,"","",0.412547,"","",0,"","",6,"","",0,"","",1,""
"","",0.22348,"","",0.333754,"","",0.570389,"","",6.05202,"","",0.0143412,"","",0.134466,"","",5.56275,"","",1.41351,"","",0,"","",9,"","",0,"","",0,""
"","",-0.878708,"","",-8.62786,"","",1.28751,"","",1.64481,"","",0.873544,"","",0.0317383,"","",1.10565,"","",0.234635,"","",1,"","",6,"","",3,"","",1,""
"","",1.16296,"","",-172.483,"","",0.168817,"","",2.35713,"","",0.178312,"","",0.15802,"","",1.9291,"","",1.05782,"","",1,"","",7,"","",0,"","",1,""
"","",-2.00016,"","",2.26486,"","",0.822459,"","",3.98042,"","",0.283414,"","",0.780087,"","",1.18783,"","",1.1857,"","",1,"","",4,"","",0,"","",1,""
"","",-0.544791,"","",-0.765405,"","",2.17872,"","",3.43328,"","",0.597656,"","",0.147827,"","",3.51841,"","",1.00577,"","",0,"","",5,"","",0,"","",0,""
"","",-0.255671,"","",2.86441,"","",0.323151,"","",8.70963,"","",0.537254,"","",1.5121,"","",13.1356,"","",6.46558,"","",0,"","",6,"","",0,"","",2,""
"","",-0.166121,"","",0.786169,"","",1.3183,"","",4.45098,"","",0.216198,"","",0.463311,"","",1.3204,"","",2.48931,"","",0,"","",7,"","",2,"","",0,""
"","",1.02046,"","",2.30829,"","",1.33011,"","",1.89652,"","",0.539856,"","",0.164595,"","",5.63931,"","",0.296848,"","",1,"","",5,"","",0,"","",0,""
"","",0.136222,"","",10.4493,"","",0.94171,"","",3.79902,"","",0.0117127,"","",0.698042,"","",3.0485,"","",1.11201,"","",1,"","",5,"","",0,"","",0,""
"","",0.407168,"","",2.61141,"","",1.86711,"","",3.21685,"","",0.624619,"","",0.463925,"","",1.12637,"","",0.578738,"","",1,"","",6,"","",0,"","",1,""
"","",-0.0696548,"","",-0.0957578,"","",0.536865,"","",3.06659,"","",0.0730062,"","",0.296125,"","",9.40745,"","",0.783566,"","",1,"","",5,"","",2,"","",1,""
"","",-0.247664,"","",-0.0495649,"","",0.971672,"","",7.01198,"","",0.524984,"","",0.989774,"","",1.01797,"","",1.07857,"","",1,"","",2,"","",2,"","",1,""
"","",0.695551,"","",2.03514,"","",0.779891,"","",4.95328,"","",0.361927,"","",0.402527,"","",0.479268,"","",2.51037,"","",1,"","",2,"","",0,"","",0,""
"","",1.14623,"","",-5.32919,"","",0.492158,"","",4.08654,"","",0.703112,"","",3.87977,"","",1.97675,"","",4.82304,"","",0,"","",4,"","",8,"","",2,""
"","",-2.4031,"","",-0.405353,"","",3.55505,"","",5.27862,"","",0.532099,"","",2.83492,"","",3.59819,"","",0.0573782,"","",0,"","",3,"","",1,"","",1,""
"","",0.57274,"","",0.41557,"","",2.9371,"","",1.08327,"","",0.300756,"","",2.64365,"","",6.89842,"","",3.21427,"","",0,"","",4,"","",2,"","",0,""
"","",0.374724,"","",3.03817,"","",0.682873,"","",7.02052,"","",0.63399,"","",0.535047,"","",0.226933,"","",1.11978,"","",1,"","",5,"","",0,"","",3,""
"","",-0.425268,"","",-18.9697,"","",0.513987,"","",4.93723,"","",0.792976,"","",0.214819,"","",2.37057,"","",0.937955,"","",0,"","",8,"","",0,"","",0,""
"","",0.951013,"","",-0.353328,"","",6.62111,"","",7.85455,"","",0.661065,"","",2.2559,"","",4.38708,"","",1.87014,"","",1,"","",5,"","",4,"","",2,""
"","",-0.389237,"","",-0.36181,"","",0.844575,"","",4.43077,"","",0.0217533,"","",1.51688,"","",0.128683,"","",0.389078,"","",0,"","",6,"","",0,"","",1,""
"","",-0.284331,"","",0.652936,"","",4.40783,"","",6.95141,"","",0.416814,"","",0.706477,"","",25.7524,"","",0.0738117,"","",0,"","",6,"","",0,"","",1,""
"","",0.85741,"","",1.96872,"","",0.990827,"","",2.26451,"","",0.87261,"","",0.0676988,"","",6.65482,"","",1.2533,"","",1,"","",7,"","",0,"","",1,""
"","",1.71963,"","",0.762784,"","",1.98672,"","",2.48301,"","",0.64518,"","",0.184729,"","",0.939741,"","",0.182965,"","",1,"","",8,"","",1,"","",1,""
"","",0.270055,"","",2.12119,"","",2.3778,"","",4.74718,"","",0.177529,"","",0.679744,"","",0.685016,"","",1.65765,"","",0,"","",5,"","",1,"","",1,""
"","",-0.422184,"","",-14.3818,"","",2.30477,"","",3.90404,"","",0.275372,"","",0.0323206,"","",0.459183,"","",1.44526,"","",1,"","",4,"","",2,"","",0,""
"","",-1.18911,"","",-2.09389,"","",1.23841,"","",19.2531,"","",0.795299,"","",0.216055,"","",1.96593,"","",0.558782,"","",1,"","",6,"","",1,"","",1,""
"","",-0.331033,"","",0.946344,"","",2.01608,"","",5.21002,"","",0.186942,"","",0.283985,"","",0.7452,"","",1.70395,"","",0,"","",6,"","",3,"","",1,""
"","",-0.939829,"","",40.6565,"","",0.749763,"","",13.3566,"","",0.0325226,"","",0.624641,"","",1.54363,"","",1.85245,"","",1,"","",3,"","",0,"","",2,""
"","",-0.258933,"","",-0.0495147,"","",3.00703,"","",11.6745,"","",0.385571,"","",1.47906,"","",1.29774,"","",1.14764,"","",1,"","",8,"","",2,"","",0,""
"","",0.394379,"","",-0.605502,"","",0.255861,"","",12.1986,"","",0.0721277,"","",0.407309,"","",2.08151,"","",2.55845,"","",1,"","",7,"","",1,"","",1,""
"","",-0.851857,"","",-0.767257,"","",0.370841,"","",1.92307,"","",0.508281,"","",0.870339,"","",15.081,"","",0.0263757,"","",1,"","",2,"","",1,"","",0,""
"","",2.64917,"","",-0.198153,"","",0.763389,"","",0.571783,"","",0.21539,"","",0.197543,"","",0.5096,"","",2.0974,"","",0,"","",7,"","",0,"","",0,""
"","",0.156012,"","",-12.9154,"","",1.19695,"","",2.79398,"","",0.62861,"","",0.473965,"","",0.33529,"","",0.312553,"","",0,"","",5,"","",0,"","",1,""
"","",1.13021,"","",-0.188634,"","",0.378688,"","",6.32722,"","",0.00410031,"","",1.29734,"","",11.7654,"","",0.884163,"","",0,"","",5,"","",1,"","",0,""
"","",-2.28912,"","",0.585352,"","",1.43285,"","",6.87353,"","",0.477174,"","",0.214947,"","",1.59203,"","",1.67926,"","",0,"","",5,"","",1,"","",2,""
"","",0.741001,"","",-4.79402,"","",1.02581,"","",5.59128,"","",0.130719,"","",0.472327,"","",2.61575,"","",0.144459,"","",0,"","",5,"","",0,"","",1,""
"","",-1.31625,"","",0.366898,"","",0.411784,"","",1.75428,"","",0.369881,"","",0.458971,"","",7.86457,"","",0.355671,"","",1,"","",4,"","",0,"","",1,""
"","",0.919804,"","",41.5579,"","",4.37299,"","",4.65597,"","",0.172403,"","",0.114398,"","",2.90493,"","",0.787859,"","",1,"","",8,"","",0,"","",0,""
"","",0.39813,"","",-1.02005,"","",0.365267,"","",15.0935,"","",0.0344567,"","",0.686842,"","",4.00574,"","",1.69747,"","",1,"","",8,"","",1,"","",2,""
"","",-0.407529,"","",0.192872,"","",0.97922,"","",2.99763,"","",0.784094,"","",0.640156,"","",0.850251,"","",1.06501,"","",0,"","",6,"","",1,"","",0,""
"","",1.32426,"","",84.2222,"","",1.06758,"","",1.99515,"","",0.909422,"","",0.288234,"","",0.48399,"","",1.27952,"","",1,"","",4,"","",1,"","",0,""
"","",-0.701232,"","",-0.366602,"","",1.12992,"","",4.4496,"","",0.23969,"","",3.06202,"","",1.77692,"","",0.259617,"","",1,"","",6,"","",1,"","",2,""
"","",-0.580614,"","",12.4463,"","",2.32997,"","",4.021,"","",0.622577,"","",0.476877,"","",1.20627,"","",0.985695,"","",1,"","",6,"","",0,"","",3,""
"","",-1.00107,"","",-9.27304,"","",2.80425,"","",8.38474,"","",0.169215,"","",2.51476,"","",1.047,"","",1.37316,"","",1,"","",7,"","",0,"","",0,""
"","",-0.668179,"","",-0.108355,"","",0.429488,"","",3.33699,"","",0.386163,"","",0.231905,"","",0.786529,"","",0.965858,"","",1,"","",6,"","",1,"","",0,""
"","",0.945185,"","",-7.06273,"","",0.186899,"","",5.0783,"","",0.082939,"","",0.0118225,"","",1.09602,"","",0.164658,"","",1,"","",5,"","",0,"","",4,""
"","",0.433702,"","",5.58924,"","",1.52153,"","",3.28008,"","",0.810962,"","",2.65473,"","",9.16825,"","",0.209294,"","",1,"","",3,"","",0,"","",0,""
"","",1.00516,"","",-0.398507,"","",1.21751,"","",8.95695,"","",0.0355415,"","",1.32968,"","",2.81681,"","",0.108039,"","",0,"","",5,"","",1,"","",0,""
"","",-0.390119,"","",1.01286,"","",0.769029,"","",2.90268,"","",0.685237,"","",1.0226,"","",2.20068,"","",1.28561,"","",1,"","",6,"","",0,"","",2,""
"","",0.37637,"","",0.0679579,"","",0.0931415,"","",12.1863,"","",0.844201,"","",0.0168736,"","",1.80036,"","",0.0540622,"","",1,"","",7,"","",0,"","",0,""
"","",0.244165,"","",-2.81278,"","",1.22363,"","",1.4156,"","",0.404849,"","",0.75879,"","",2.82041,"","",1.87584,"","",0,"","",7,"","",4,"","",2,""
"","",-1.42626,"","",-4.10878,"","",33.6509,"","",1.30599,"","",0.555388,"","",2.10124,"","",6.39192,"","",0.773146,"","",0,"","",4,"","",0,"","",2,""
"","",1.77843,"","",1.47003,"","",2.47098,"","",7.68279,"","",0.419712,"","",0.189426,"","",2.1299,"","",1.33567,"","",1,"","",4,"","",0,"","",0,""
"","",0.134448,"","",1.7869,"","",1.85359,"","",0.847572,"","",0.706334,"","",0.169373,"","",0.67831,"","",0.676216,"","",0,"","",5,"","",0,"","",3,""
"","",0.765599,"","",-1.13355,"","",0.416276,"","",10.6173,"","",0.20377,"","",1.96817,"","",6.69504,"","",2.95083,"","",1,"","",6,"","",1,"","",1,""
"","",0.955137,"","",-920.72,"","",1.72294,"","",3.52907,"","",0.37422,"","",0.257999,"","",0.943586,"","",0.637642,"","",0,"","",5,"","",1,"","",0,""
"","",-0.0505657,"","",-0.597467,"","",1.06793,"","",12.1485,"","",0.68416,"","",0.990329,"","",1.09286,"","",1.26946,"","",0,"","",5,"","",4,"","",0,""
"","",-0.305815,"","",0.144287,"","",1.01465,"","",3.90447,"","",0.999224,"","",0.985188,"","",0.417745,"","",0.485259,"","",0,"","",6,"","",1,"","",1,""
"","",0.893674,"","",-0.253011,"","",1.77327,"","",4.98379,"","",0.617718,"","",0.913366,"","",0.607458,"","",1.43963,"","",1,"","",5,"","",0,"","",1,""
"","",-1.0473,"","",1.89737,"","",1.33564,"","",0.846493,"","",0.0568292,"","",0.779483,"","",13.5603,"","",0.509686,"","",0,"","",5,"","",0,"","",2,""
"","",1.97134,"","",0.896447,"","",0.843415,"","",4.14038,"","",0.0851975,"","",1.0604,"","",3.02323,"","",1.01183,"","",0,"","",3,"","",2,"","",2,""
"","",-0.383632,"","",-1.14837,"","",0.491073,"","",2.63492,"","",0.388956,"","",1.95809,"","",0.21865,"","",0.299558,"","",0,"","",4,"","",0,"","",1,""
"","",1.65415,"","",-0.478092,"","",1.55224,"","",7.4065,"","",0.270563,"","",0.324576,"","",0.636486,"","",0.182821,"","",1,"","",5,"","",7,"","",1,""
"","",1.51221,"","",-0.837526,"","",2.08385,"","",1.16277,"","",0.100072,"","",1.01614,"","",1.49259,"","",2.15016,"","",0,"","",3,"","",0,"","",0,""
"","",0.0829657,"","",0.22134,"","",0.348602,"","",4.12895,"","",0.555175,"","",0.12533,"","",0.719206,"","",1.39366,"","",0,"","",7,"","",0,"","",2,""
"","",0.567221,"","",22.5761,"","",0.0725902,"","",13.3245,"","",0.386203,"","",1.38663,"","",0.607156,"","",1.33105,"","",0,"","",6,"","",2,"","",2,""
"","",-1.02455,"","",1.37905,"","",2.5621,"","",6.76119,"","",0.285787,"","",0.865456,"","",0.29961,"","",1.09538,"","",0,"","",7,"","",3,"","",0,""
"","",0.323007,"","",0.624175,"","",3.29728,"","",6.17827,"","",0.0267864,"","",0.545725,"","",1.67604,"","",0.175738,"","",1,"","",5,"","",2,"","",0,""
"","",1.04361,"","",-2.01627,"","",1.57115,"","",3.81923,"","",0.624539,"","",0.356181,"","",0.643418,"","",0.400933,"","",1,"","",3,"","",0,"","",3,""
"","",0.0990785,"","",8.41041,"","",0.4424,"","",8.04677,"","",0.130487,"","",4.06626,"","",0.291521,"","",1.8414,"","",0,"","",6,"","",2,"","",0,""
"","",-0.454137,"","",0.802227,"","",0.745208,"","",6.82661,"","",0.0112921,"","",2.30902,"","",1.1722,"","",0.78523,"","",1,"","",5,"","",1,"","",0,""
"","",-0.655782,"","",-7.39234,"","",1.00295,"","",4.52097,"","",0.982832,"","",1.03784,"","",0.52497,"","",0.831039,"","",0,"","",6,"","",0,"","",2,""
"","",-0.0359224,"","",-11.1336,"","",2.57793,"","",4.5344,"","",0.2612,"","",0.83525,"","",1.2596,"","",0.996462,"","",0,"","",1,"","",3,"","",0,""
"","",1.06916,"","",-1.18567,"","",0.525296,"","",2.10259,"","",0.775566,"","",1.49236,"","",1.35755,"","",0.660142,"","",0,"","",6,"","",0,"","",0,""
"","",-0.483975,"","",-0.0979868,"","",1.42887,"","",4.05627,"","",0.883157,"","",2.12372,"","",0.834102,"","",1.45923,"","",1,"","",7,"","",3,"","",2,""
"","",-0.12101,"","",1.42166,"","",1.30696,"","",5.44329,"","",0.546374,"","",0.028381,"","",1.58494,"","",0.328242,"","",1,"","",6,"","",3,"","",1,""
"","",-1.29414,"","",0.742757,"","",0.730061,"","",3.60496,"","",0.731028,"","",0.381433,"","",10.1922,"","",0.3166,"","",1,"","",6,"","",0,"","",1,""
"","",0.494313,"","",-0.483361,"","",1.98386,"","",4.98864,"","",0.050118,"","",0.45535,"","",0.60545,"","",2.18321,"","",0,"","",4,"","",5,"","",0,""
"","",1.3079,"","",2.9109,"","",0.174153,"","",7.65221,"","",0.110308,"","",1.67262,"","",1.49708,"","",0.546806,"","",0,"","",3,"","",0,"","",2,""
"","",1.49704,"","",1.58869,"","",2.1574,"","",0.933265,"","",0.506198,"","",0.147756,"","",1.13674,"","",0.181348,"","",0,"","",9,"","",0,"","",0,""
"","",0.814703,"","",-19.3959,"","",0.71245,"","",10.7378,"","",0.207803,"","",0.747848,"","",0.69711,"","",0.749127,"","",0,"","",6,"","",0,"","",1,""
"","",-1.86979,"","",1.07577,"","",0.293264,"","",2.81374,"","",0.330104,"","",1.16209,"","",0.654269,"","",0.304363,"","",0,"","",4,"","",0,"","",2,""
"","",0.48203,"","",-0.664915,"","",0.84232,"","",0.592303,"","",0.0559041,"","",0.0112897,"","",5.25373,"","",0.50416,"","",1,"","",7,"","",0,"","",1,""
"","",0.456136,"","",0.494781,"","",1.50538,"","",2.34898,"","",0.648753,"","",1.15849,"","",0.555428,"","",0.384668,"","",1,"","",6,"","",4,"","",0,""
"","",-0.3534,"","",-6.42244,"","",1.18288,"","",2.43638,"","",0.0086404,"","",0.659245,"","",0.341062,"","",0.180932,"","",1,"","",3,"","",3,"","",2,""
"","",0.170489,"","",0.109393,"","",0.726905,"","",13.5726,"","",0.467599,"","",0.246951,"","",1.14278,"","",0.258245,"","",0,"","",5,"","",2,"","",0,""
"","",-0.864036,"","",0.85026,"","",2.19121,"","",3.37047,"","",0.91988,"","",0.0732989,"","",0.368092,"","",0.343031,"","",1,"","",3,"","",0,"","",1,""
"","",0.679231,"","",-2.82223,"","",1.08885,"","",5.22473,"","",0.399626,"","",0.260022,"","",1.36272,"","",2.44504,"","",0,"","",4,"","",0,"","",3,""
"","",-0.327101,"","",-0.29318,"","",1.36867,"","",1.39847,"","",0.953535,"","",0.298192,"","",2.97618,"","",1.24918,"","",0,"","",4,"","",0,"","",1,""
"","",-1.56908,"","",-6.8348,"","",1.19472,"","",9.98045,"","",0.733628,"","",0.302512,"","",0.119181,"","",0.37243,"","",1,"","",7,"","",0,"","",0,""
"","",-0.367451,"","",2.01337,"","",0.494047,"","",4.82843,"","",0.547533,"","",1.37095,"","",1.24198,"","",0.398698,"","",1,"","",3,"","",0,"","",1,""
"","",1.36443,"","",-0.443749,"","",0.935226,"","",0.474395,"","",0.29307,"","",2.69176,"","",1.32389,"","",0.315918,"","",0,"","",6,"","",4,"","",2,""
"","",-0.334281,"","",15.4502,"","",0.260528,"","",3.34159,"","",0.178026,"","",0.208886,"","",0.663484,"","",1.59959,"","",1,"","",8,"","",0,"","",1,""
"","",0.73275,"","",-0.19827,"","",1.12793,"","",2.18214,"","",0.201741,"","",0.663015,"","",1.18983,"","",0.249607,"","",0,"","",8,"","",0,"","",0,""
"","",0.946586,"","",-0.0886251,"","",0.380484,"","",7.06264,"","",0.255553,"","",1.20265,"","",0.540551,"","",0.281778,"","",1,"","",4,"","",0,"","",1,""
"","",0.0043987,"","",2.85554,"","",0.28402,"","",11.3006,"","",0.254763,"","",0.376407,"","",0.35329,"","",0.665616,"","",1,"","",5,"","",0,"","",1,""
"","",-0.352322,"","",0.494746,"","",3.11321,"","",11.1491,"","",0.636989,"","",2.28475,"","",0.399627,"","",0.351624,"","",1,"","",6,"","",1,"","",0,""
"","",-0.529696,"","",-0.754392,"","",1.30215,"","",4.95953,"","",0.560608,"","",1.15719,"","",0.548314,"","",0.160749,"","",0,"","",2,"","",4,"","",0,""
"","",0.739589,"","",-1.07421,"","",2.61945,"","",8.40141,"","",0.844827,"","",0.0128119,"","",38.801,"","",0.414986,"","",1,"","",6,"","",1,"","",2,""
"","",-1.06346,"","",3.48395,"","",0.133763,"","",2.73912,"","",0.883387,"","",0.627605,"","",3.75135,"","",1.05808,"","",1,"","",5,"","",2,"","",1,""
"","",0.246211,"","",-1.07514,"","",2.48862,"","",0.994453,"","",0.229987,"","",0.315217,"","",1.16315,"","",0.849871,"","",1,"","",7,"","",3,"","",1,""
"","",-0.289499,"","",-4.5097,"","",0.307711,"","",3.4376,"","",0.0212806,"","",0.141766,"","",4.84222,"","",1.2281,"","",0,"","",4,"","",0,"","",0,""
"","",-2.26489,"","",-1.42527,"","",0.660337,"","",3.45651,"","",0.743507,"","",0.0391386,"","",0.810143,"","",0.380061,"","",0,"","",4,"","",1,"","",1,""
"","",-1.40885,"","",-0.354071,"","",5.4373,"","",2.5971,"","",0.682848,"","",0.940759,"","",0.897324,"","",0.211609,"","",0,"","",5,"","",2,"","",0,""
"","",0.916019,"","",0.172552,"","",2.96858,"","",4.83334,"","",0.376768,"","",0.380251,"","",2.98406,"","",0.0651564,"","",0,"","",4,"","",1,"","",1,""
"","",-0.191279,"","",2.01871,"","",2.49437,"","",3.42644,"","",0.83815,"","",0.0802319,"","",1.69515,"","",0.0209538,"","",0,"","",5,"","",1,"","",4,""
"","",0.803283,"","",-0.420322,"","",1.72085,"","",1.06615,"","",0.901204,"","",0.270002,"","",2.19211,"","",1.29845,"","",1,"","",4,"","",0,"","",4,""
"","",1.88747,"","",1.10569,"","",6.3788,"","",6.05308,"","",0.90557,"","",0.356516,"","",0.739511,"","",0.0919122,"","",1,"","",5,"","",0,"","",1,""
"","",1.47388,"","",-0.0545585,"","",0.850643,"","",9.01924,"","",0.0698524,"","",0.222267,"","",1.62648,"","",0.284947,"","",0,"","",6,"","",7,"","",0,""
"","",0.677268,"","",-6.13983,"","",0.791137,"","",3.35489,"","",0.386445,"","",0.43162,"","",0.307381,"","",1.5907,"","",0,"","",6,"","",6,"","",2,""
"","",0.379963,"","",-0.43614,"","",2.2277,"","",6.07157,"","",0.692936,"","",0.709143,"","",5.47048,"","",1.49887,"","",1,"","",2,"","",1,"","",1,""
"","",-0.192798,"","",0.483707,"","",2.29264,"","",1.44839,"","",0.284284,"","",0.847831,"","",9.42765,"","",1.26925,"","",0,"","",4,"","",0,"","",0,""
"","",1.57789,"","",-9.237,"","",0.299545,"","",5.70578,"","",0.907737,"","",0.413789,"","",1.68968,"","",0.691625,"","",1,"","",4,"","",0,"","",2,""
"","",0.596234,"","",2.56787,"","",1.7286,"","",2.22171,"","",0.666557,"","",0.498484,"","",3.06828,"","",0.0382412,"","",1,"","",5,"","",1,"","",1,""
"","",-1.17358,"","",-8.02809,"","",2.86822,"","",1.92668,"","",0.568594,"","",1.83674,"","",2.522,"","",2.15298,"","",0,"","",5,"","",0,"","",1,""
"","",-0.155643,"","",-0.0175718,"","",0.601516,"","",8.80723,"","",0.340913,"","",1.16895,"","",2.276,"","",1.74425,"","",0,"","",1,"","",0,"","",0,""
"","",-1.91891,"","",2.0853,"","",0.833325,"","",3.72812,"","",0.365322,"","",1.25895,"","",2.10861,"","",1.35223,"","",0,"","",4,"","",4,"","",3,""
"","",-0.195259,"","",-6.09743,"","",1.9368,"","",2.31142,"","",0.0141569,"","",2.35575,"","",5.48714,"","",2.9329,"","",0,"","",3,"","",0,"","",3,""
"","",-2.59233,"","",1.11817,"","",1.51855,"","",8.31655,"","",0.430336,"","",2.2308,"","",9.96763,"","",2.1853,"","",0,"","",5,"","",2,"","",4,""
"","",1.314,"","",6.55057,"","",0.468596,"","",1.50101,"","",0.865276,"","",0.493471,"","",34.2858,"","",2.11567,"","",0,"","",3,"","",0,"","",0,""
"","",-0.635543,"","",2.63346,"","",0.591383,"","",2.58013,"","",0.735222,"","",0.0958143,"","",2.26729,"","",0.906103,"","",0,"","",7,"","",0,"","",1,""
"","",-0.429979,"","",0.130109,"","",0.357221,"","",4.10252,"","",0.120965,"","",0.304651,"","",0.288017,"","",1.95278,"","",1,"","",6,"","",0,"","",1,""
